Provinsi,Time,expenses,tpt,gini,ump
MALUKU,2016,46.65,7.015,0.346,1775000
MALUKU,2017,48.68,8.53,0.332,1925000
MALUKU,2018,47.65,7.01,0.326,2222220
MALUKU,2019,46.65,6.65,0.32,2400664
MALUKU,2020,45.11,7.14,0.326,2604961
MALUKU,2021,44.45,6.83,0.316,2604960
MALUKU,2022,46.28,6.66,0.306,2619313
MALUKU,2023,43.25,6.195,0.288,2812827
MALUKU,2024,46.01,6.035,0.282,2949953
MALUKU UTARA,2007,51.08,7.195,0.346,660000
MALUKU UTARA,2008,45.42,6.755,0.339,700000
MALUKU UTARA,2009,45.86,6.685,0.327,770000
MALUKU UTARA,2010,45.85,6.03,0.336,847000
MALUKU UTARA,2011,44.44,5.57,0.3385,889350
MALUKU UTARA,2012,40.4,5.16,0.322,960498
MALUKU UTARA,2013,48.93,4.65,0.319,1200622
MALUKU UTARA,2014,45.48,5.47,0.3235,1440746
MALUKU UTARA,2015,47.7,5.805,0.283,1577617
MALUKU UTARA,2016,42.97,3.72,0.2975,1681266
MALUKU UTARA,2017,45.14,5.075,0.324,1975000
MALUKU UTARA,2018,43.16,4.595,0.336,2320803
MALUKU UTARA,2019,43.24,4.885,0.31,2508091
MALUKU UTARA,2020,43.28,4.62,0.29,2721530
MALUKU UTARA,2021,44.7,4.885,0.278,2721530
MALUKU UTARA,2022,45.69,4.48,0.309,2862231
MALUKU UTARA,2023,44.7,4.455,0.3,2976720
MALUKU UTARA,2024,44.25,4.095,0.316,3200000
NUSA TENGGARA BARAT,2007,51.45,7.015,0.339,645000
NUSA TENGGARA BARAT,2008,51.98,5.665,0.342,730000
NUSA TENGGARA BARAT,2009,48.04,6.185,0.354,832500
NUSA TENGGARA BARAT,2010,47.57,5.535,0.396,890775
NUSA TENGGARA BARAT,2011,52.71,5.355,0.3645,950000
NUSA TENGGARA BARAT,2012,59.23,5.23,0.351,1000000
NUSA TENGGARA BARAT,2013,52.64,5.29,0.3565,1100000
NUSA TENGGARA BARAT,2014,54.49,5.525,0.384,1210000
NUSA TENGGARA BARAT,2015,49.43,5.335,0.364,1330000
NUSA TENGGARA BARAT,2016,50.65,3.8,0.362,1482950
NUSA TENGGARA BARAT,2017,51.61,3.59,0.375,1631245
NUSA TENGGARA BARAT,2018,54.68,3.43,0.391,1825000
NUSA TENGGARA BARAT,2019,50.62,3.215,0.374,2012610
NUSA TENGGARA BARAT,2020,50.63,3.63,0.386,2183883
NUSA TENGGARA BARAT,2021,50.93,3.49,0.384,2183883
NUSA TENGGARA BARAT,2022,54.85,3.405,0.374,2207212
NUSA TENGGARA BARAT,2023,54.65,3.265,0.375,2371407
NUSA TENGGARA BARAT,2024,55.07,3.015,0.361,2444067
NUSA TENGGARA TIMUR,2007,48.75,3.85,0.363,600000
NUSA TENGGARA TIMUR,2008,47.85,3.715,0.349,650000
NUSA TENGGARA TIMUR,2009,48.42,3.375,0.357,725000
NUSA TENGGARA TIMUR,2010,49.74,3.415,0.378,800000
NUSA TENGGARA TIMUR,2011,47.51,2.935,0.3475,850000
NUSA TENGGARA TIMUR,2012,46.65,2.785,0.357,925000
NUSA TENGGARA TIMUR,2013,46.32,2.685,0.348,1010000
NUSA TENGGARA TIMUR,2014,42.63,2.615,0.355,1150000
NUSA TENGGARA TIMUR,2015,45.86,3.475,0.3435,1250000
NUSA TENGGARA TIMUR,2016,44.74,3.42,0.349,1425000
NUSA TENGGARA TIMUR,2017,47.45,3.24,0.359,1525000
NUSA TENGGARA TIMUR,2018,48.33,2.835,0.359,1660000
NUSA TENGGARA TIMUR,2019,46.79,3.06,0.355,1795000
NUSA TENGGARA TIMUR,2020,46.04,3.46,0.356,1950000
NUSA TENGGARA TIMUR,2021,47.5,3.575,0.339,1945902
NUSA TENGGARA TIMUR,2022,46.24,3.42,0.34,1975000
NUSA TENGGARA TIMUR,2023,44.58,3.12,0.325,2123994
NUSA TENGGARA TIMUR,2024,47.72,3.095,0.316,2186826
PAPUA,2007,49.1,5.265,0.422,987000
PAPUA,2008,47.79,4.62,0.407,1105500
PAPUA,2009,51.75,4.105,0.383,1216100
PAPUA,2010,52.14,3.815,0.414,1316500
PAPUA,2011,47.32,4.43,0.4015,1403000
PAPUA,2012,49.5,3.37,0.4425,1585000
PAPUA,2013,45.89,3.03,0.4415,1710000
PAPUA,2014,61.52,3.46,0.4335,2040000
PAPUA,2015,47.41,3.855,0.4065,2193000
PAPUA,2016,47.21,3.16,0.3945,2435000
PAPUA,2017,49.88,3.79,0.398,2663646
PAPUA,2018,46.64,2.875,0.398,3000000
PAPUA,2019,47.02,3.365,0.391,3240900
PAPUA,2020,46.84,3.85,0.395,3516700
PAPUA,2021,47.94,3.55,0.396,3516700
PAPUA,2022,48.01,3.215,0.393,3561932
PAPUA,2023,45.84,3.08,0.386,3864696
PAPUA,2024,44.16,6.145,0.362,4024270
PAPUA BARAT,2007,52.71,9.82,0.346,987000
PAPUA BARAT,2008,52.96,8.475,0.326,1105500
PAPUA BARAT,2009,51.02,7.645,0.353,1180000
PAPUA BARAT,2010,48.36,7.725,0.381,1210000
PAPUA BARAT,2011,44.09,6.775,0.395,1410000
PAPUA BARAT,2012,45.95,5.995,0.416,1450000
PAPUA BARAT,2013,46.29,4.38,0.4245,1720000
PAPUA BARAT,2014,42.83,4.36,0.422,1870000
PAPUA BARAT,2015,46.71,6.345,0.434,2015000
PAPUA BARAT,2016,44.38,6.595,0.387,2237000
PAPUA BARAT,2017,43.43,7.005,0.389,2421500
PAPUA BARAT,2018,45.65,6.36,0.391,2667000
PAPUA BARAT,2019,45.72,6.12,0.381,2934500
PAPUA BARAT,2020,46.26,6.79,0.376,3134600
PAPUA BARAT,2021,44.2,6.01,0.374,3134600
PAPUA BARAT,2022,46.27,5.575,0.384,3200000
PAPUA BARAT,2023,46.04,5.455,0.37,3282000
PAPUA BARAT,2024,48.83,4.22,0.389,3393000
PAPUA BARAT DAYA,2007,52.71,9.82,0.346,987000
PAPUA BARAT DAYA,2008,52.96,8.475,0.326,1105500
PAPUA BARAT DAYA,2009,51.02,7.645,0.353,1180000
PAPUA BARAT DAYA,2010,48.36,7.725,0.381,1210000
PAPUA BARAT DAYA,2011,44.09,6.775,0.395,1410000
PAPUA BARAT DAYA,2012,45.95,5.995,0.416,1450000
PAPUA BARAT DAYA,2013,46.29,4.38,0.4245,1720000
PAPUA BARAT DAYA,2014,42.83,4.36,0.422,1870000
PAPUA BARAT DAYA,2015,46.71,6.345,0.434,2015000
PAPUA BARAT DAYA,2016,44.38,6.595,0.387,2237000
PAPUA BARAT DAYA,2017,43.43,7.005,0.389,2421500
PAPUA BARAT DAYA,2018,45.65,6.36,0.391,2667000
PAPUA BARAT DAYA,2019,45.72,6.12,0.381,2934500
PAPUA BARAT DAYA,2020,46.26,6.79,0.376,3134600
PAPUA BARAT DAYA,2021,44.2,6.01,0.374,3134600
PAPUA BARAT DAYA,2022,46.27,5.575,0.384,3200000
PAPUA BARAT DAYA,2023,46.04,5.455,0.37,3282000
PAPUA BARAT DAYA,2024,46.88,6.25,0.346,4024270
PAPUA PEGUNUNGAN,2007,49.1,5.265,0.422,987000
PAPUA PEGUNUNGAN,2008,47.79,4.62,0.407,1105500
PAPUA PEGUNUNGAN,2009,51.75,4.105,0.383,1216100
PAPUA PEGUNUNGAN,2010,52.14,3.815,0.414,1316500
PAPUA PEGUNUNGAN,2011,47.32,4.43,0.4015,1403000
PAPUA PEGUNUNGAN,2012,49.5,3.37,0.4425,1585000
PAPUA PEGUNUNGAN,2013,45.89,3.03,0.4415,1710000
PAPUA PEGUNUNGAN,2014,61.52,3.46,0.4335,2040000
PAPUA PEGUNUNGAN,2015,47.41,3.855,0.4065,2193000
PAPUA PEGUNUNGAN,2016,47.21,3.16,0.3945,2435000
PAPUA PEGUNUNGAN,2017,49.88,3.79,0.398,2663646
PAPUA PEGUNUNGAN,2018,46.64,2.875,0.398,3000000
PAPUA PEGUNUNGAN,2019,47.02,3.365,0.391,3240900
PAPUA PEGUNUNGAN,2020,46.84,3.85,0.395,3516700
PAPUA PEGUNUNGAN,2021,47.94,3.55,0.396,3516700
PAPUA PEGUNUNGAN,2022,48.01,3.215,0.393,3561932
PAPUA PEGUNUNGAN,2023,45.84,3.08,0.386,3864696
PAPUA PEGUNUNGAN,2024,60.6,1.25,0.34,4024270
PAPUA SELATAN,2007,49.1,5.265,0.422,987000
PAPUA SELATAN,2008,47.79,4.62,0.407,1105500
PAPUA SELATAN,2009,51.75,4.105,0.383,1216100
PAPUA SELATAN,2010,52.14,3.815,0.414,1316500
PAPUA SELATAN,2011,47.32,4.43,0.4015,1403000
PAPUA SELATAN,2012,49.5,3.37,0.4425,1585000
PAPUA SELATAN,2013,45.89,3.03,0.4415,1710000
PAPUA SELATAN,2014,61.52,3.46,0.4335,2040000
PAPUA SELATAN,2015,47.41,3.855,0.4065,2193000
PAPUA SELATAN,2016,47.21,3.16,0.3945,2435000
PAPUA SELATAN,2017,49.88,3.79,0.398,2663646
PAPUA SELATAN,2018,46.64,2.875,0.398,3000000
PAPUA SELATAN,2019,47.02,3.365,0.391,3240900
PAPUA SELATAN,2020,46.84,3.85,0.395,3516700
PAPUA SELATAN,2021,47.94,3.55,0.396,3516700
PAPUA SELATAN,2022,48.01,3.215,0.393,3561932
PAPUA SELATAN,2023,45.84,3.08,0.386,3864696
PAPUA SELATAN,2024,47.89,4.4,0.404,4024270
PAPUA TENGAH,2007,49.1,5.265,0.422,987000
PAPUA TENGAH,2008,47.79,4.62,0.407,1105500
PAPUA TENGAH,2009,51.75,4.105,0.383,1216100
PAPUA TENGAH,2010,52.14,3.815,0.414,1316500
PAPUA TENGAH,2011,47.32,4.43,0.4015,1403000
PAPUA TENGAH,2012,49.5,3.37,0.4425,1585000
PAPUA TENGAH,2013,45.89,3.03,0.4415,1710000
PAPUA TENGAH,2014,61.52,3.46,0.4335,2040000
PAPUA TENGAH,2015,47.41,3.855,0.4065,2193000
PAPUA TENGAH,2016,47.21,3.16,0.3945,2435000
PAPUA TENGAH,2017,49.88,3.79,0.398,2663646
PAPUA TENGAH,2018,46.64,2.875,0.398,3000000
PAPUA TENGAH,2019,47.02,3.365,0.391,3240900
PAPUA TENGAH,2020,46.84,3.85,0.395,3516700
PAPUA TENGAH,2021,47.94,3.55,0.396,3516700
PAPUA TENGAH,2022,48.01,3.215,0.393,3561932
PAPUA TENGAH,2023,45.84,3.08,0.386,3864696
PAPUA TENGAH,2024,47.89,2.62,0.381,4024270
RIAU,2007,44.94,10.09,0.339,710000
RIAU,2008,46.46,8.775,0.328,800000
RIAU,2009,49.92,8.76,0.331,901600
RIAU,2010,49.61,7.965,0.326,1016000
RIAU,2011,45.77,6.8,0.3435,1120000
RIAU,2012,48.68,4.83,0.3935,1238000
RIAU,2013,48.18,4.835,0.3835,1400000
RIAU,2014,46.91,5.775,0.366,1700000
RIAU,2015,44.51,7.275,0.365,1878000
RIAU,2016,46.06,6.685,0.347,2095000
RIAU,2017,49.28,5.99,0.325,2266722
RIAU,2018,46.42,5.765,0.347,2464154
RIAU,2019,45.94,5.56,0.331,2662026
RIAU,2020,45.02,5.62,0.321,2888564
RIAU,2021,45.14,4.69,0.327,2888563
RIAU,2022,47.25,4.385,0.323,2938564
RIAU,2023,46.11,4.24,0.324,3191662
RIAU,2024,48.05,3.775,0.307,3294625
SULAWESI BARAT,2007,59.64,4.77,0.325,691464
SULAWESI BARAT,2008,56.29,5.125,0.323,760500
SULAWESI BARAT,2009,51.22,4.715,0.301,909400
SULAWESI BARAT,2010,49.23,3.675,0.364,944200
SULAWESI BARAT,2011,54.0,3.06,0.3565,1006000
SULAWESI BARAT,2012,49.67,2.13,0.325,1127000
SULAWESI BARAT,2013,53.26,2.185,0.3365,1165000
SULAWESI BARAT,2014,51.46,1.84,0.365,1400000
SULAWESI BARAT,2015,49.86,2.58,0.3625,1655500
SULAWESI BARAT,2016,48.8,3.025,0.3675,1864000
SULAWESI BARAT,2017,47.32,3.095,0.347,2017780
SULAWESI BARAT,2018,47.41,2.67,0.366,2193530
SULAWESI BARAT,2019,46.54,2.135,0.365,2381000
SULAWESI BARAT,2020,44.44,2.855,0.356,2678863
SULAWESI BARAT,2021,43.98,3.205,0.366,2678863
SULAWESI BARAT,2022,43.61,2.725,0.371,2678863
SULAWESI BARAT,2023,45.7,2.655,0.351,2871794
SULAWESI BARAT,2024,45.08,2.85,0.354,2914958
SULAWESI SELATAN,2007,44.71,11.63,0.38,673200
SULAWESI SELATAN,2008,44.86,9.765,0.37,740520
SULAWESI SELATAN,2009,43.85,8.82,0.394,905000
SULAWESI SELATAN,2010,46.93,8.18,0.404,1000000
SULAWESI SELATAN,2011,46.53,7.51,0.416,1100000
SULAWESI SELATAN,2012,45.49,6.285,0.414,1200000
SULAWESI SELATAN,2013,43.57,5.49,0.4305,1440000
SULAWESI SELATAN,2014,45.64,5.435,0.4365,1800000
SULAWESI SELATAN,2015,43.17,5.88,0.414,2000000
SULAWESI SELATAN,2016,42.33,4.955,0.413,2250000
SULAWESI SELATAN,2017,42.76,5.19,0.418,2435625
SULAWESI SELATAN,2018,45.46,4.99,0.388,2647767
SULAWESI SELATAN,2019,43.86,4.86,0.391,2860382
SULAWESI SELATAN,2020,44.99,6.005,0.382,3103800
SULAWESI SELATAN,2021,44.46,5.755,0.377,3165876
SULAWESI SELATAN,2022,46.37,5.13,0.365,3165876
SULAWESI SELATAN,2023,44.38,4.795,0.377,3385145
SULAWESI SELATAN,2024,46.07,4.545,0.363,3434298
SULAWESI TENGAH,2007,49.17,7.7,0.33,615000
SULAWESI TENGAH,2008,47.77,6.35,0.34,670000
SULAWESI TENGAH,2009,44.22,5.27,0.338,720000
SULAWESI TENGAH,2010,41.9,4.75,0.366,777500
SULAWESI TENGAH,2011,46.35,5.545,0.382,827500
SULAWESI TENGAH,2012,48.64,3.85,0.3935,885000
SULAWESI TENGAH,2013,40.38,3.43,0.399,995000
SULAWESI TENGAH,2014,42.47,3.3,0.362,1250000
SULAWESI TENGAH,2015,40.53,3.545,0.372,1500000
SULAWESI TENGAH,2016,43.3,3.375,0.3545,1670000
SULAWESI TENGAH,2017,45.06,3.39,0.35,1807775
SULAWESI TENGAH,2018,43.34,3.245,0.317,1965232
SULAWESI TENGAH,2019,46.09,3.285,0.33,2123040
SULAWESI TENGAH,2020,43.4,3.35,0.321,2303711
SULAWESI TENGAH,2021,43.09,3.74,0.326,2303710
SULAWESI TENGAH,2022,46.08,3.335,0.305,2390739
SULAWESI TENGAH,2023,47.11,3.22,0.304,2599546
SULAWESI TENGAH,2024,46.48,3.045,0.301,2736698
SULAWESI TENGGARA,2007,49.28,6.665,0.363,640000
SULAWESI TENGGARA,2008,46.05,5.89,0.338,700000
SULAWESI TENGGARA,2009,40.42,5.06,0.359,770000
SULAWESI TENGGARA,2010,44.47,4.69,0.421,860000
SULAWESI TENGGARA,2011,43.64,4.57,0.401,930000
SULAWESI TENGGARA,2012,43.3,3.67,0.4035,1032300
SULAWESI TENGGARA,2013,42.57,3.905,0.4085,1125207
SULAWESI TENGGARA,2014,39.8,3.28,0.404,1400000
SULAWESI TENGGARA,2015,42.52,4.585,0.39,1652000
SULAWESI TENGGARA,2016,40.04,3.25,0.395,1850000
SULAWESI TENGGARA,2017,42.57,3.22,0.399,2002625
SULAWESI TENGGARA,2018,42.53,2.98,0.392,2177052
SULAWESI TENGGARA,2019,42.21,3.2,0.393,2351870
SULAWESI TENGGARA,2020,43.46,3.84,0.388,2552015
SULAWESI TENGGARA,2021,42.92,4.07,0.394,2552014
SULAWESI TENGGARA,2022,43.09,3.61,0.366,2576017
SULAWESI TENGGARA,2023,43.66,3.405,0.371,2758948
SULAWESI TENGGARA,2024,44.49,3.155,0.37,2885964
SULAWESI UTARA,2007,46.4,12.695,0.338,750000
SULAWESI UTARA,2008,48.81,11.5,0.295,845000
SULAWESI UTARA,2009,48.71,10.595,0.311,929500
SULAWESI UTARA,2010,47.95,10.045,0.37,1000000
SULAWESI UTARA,2011,44.42,9.92,0.372,1050000
SULAWESI UTARA,2012,45.99,8.265,0.4285,1250000
SULAWESI UTARA,2013,47.25,7.145,0.434,1550000
SULAWESI UTARA,2014,44.76,7.405,0.43,1900000
SULAWESI UTARA,2015,46.95,8.86,0.367,2150000
SULAWESI UTARA,2016,47.41,7.0,0.3825,2400000
SULAWESI UTARA,2017,50.29,6.65,0.395,2598000
SULAWESI UTARA,2018,43.84,6.235,0.372,2824286
SULAWESI UTARA,2019,46.37,5.59,0.376,3051076
SULAWESI UTARA,2020,45.17,6.355,0.368,3310723
SULAWESI UTARA,2021,48.02,7.17,0.359,3310723
SULAWESI UTARA,2022,51.75,6.56,0.359,3310723
SULAWESI UTARA,2023,47.89,6.145,0.37,3485000
SULAWESI UTARA,2024,48.8,5.915,0.36,3545000
SUMATERA BARAT,2007,49.62,10.665,0.32,725000
SUMATERA BARAT,2008,51.28,8.885,0.308,800000
SUMATERA BARAT,2009,51.2,7.935,0.298,880000
SUMATERA BARAT,2010,51.3,7.26,0.325,940000
SUMATERA BARAT,2011,51.56,7.765,0.3425,1055000
SUMATERA BARAT,2012,50.37,6.57,0.3595,1150000
SUMATERA BARAT,2013,46.32,6.705,0.357,1350000
SUMATERA BARAT,2014,50.72,6.41,0.333,1490000
SUMATERA BARAT,2015,46.82,6.44,0.3305,1615000
SUMATERA BARAT,2016,48.87,5.45,0.3215,1800725
SUMATERA BARAT,2017,50.56,5.69,0.315,1949284
SUMATERA BARAT,2018,48.45,5.67,0.305,2119067
SUMATERA BARAT,2019,48.33,5.38,0.307,2289220
SUMATERA BARAT,2020,48.12,6.065,0.301,2484041
SUMATERA BARAT,2021,48.44,6.595,0.3,2484041
SUMATERA BARAT,2022,49.21,6.225,0.292,2512539
SUMATERA BARAT,2023,49.7,5.92,0.28,2742476
SUMATERA BARAT,2024,50.34,5.77,0.283,2811449
SUMATERA SELATAN,2007,49.88,9.87,0.329,662000
SUMATERA SELATAN,2008,50.2,8.265,0.313,743000
SUMATERA SELATAN,2009,50.53,7.995,0.313,824730
SUMATERA SELATAN,2010,51.02,6.6,0.34,927825
SUMATERA SELATAN,2011,54.28,6.445,0.3715,1048440
SUMATERA SELATAN,2012,43.53,5.63,0.3965,1195220
SUMATERA SELATAN,2013,48.13,5.125,0.379,1630000
SUMATERA SELATAN,2014,47.17,4.4,0.39,1825000
SUMATERA SELATAN,2015,44.86,5.55,0.347,1974346
SUMATERA SELATAN,2016,47.42,4.125,0.355,2206000
SUMATERA SELATAN,2017,49.65,4.095,0.363,2388000
SUMATERA SELATAN,2018,47.14,4.175,0.341,2595995
SUMATERA SELATAN,2019,46.88,4.275,0.339,2804453
SUMATERA SELATAN,2020,47.83,4.705,0.338,3043111
SUMATERA SELATAN,2021,47.71,5.075,0.34,3144446
SUMATERA SELATAN,2022,49.61,4.685,0.33,3144446
SUMATERA SELATAN,2023,48.81,4.32,0.338,3404177
SUMATERA SELATAN,2024,50.57,3.915,0.333,3456874
SUMATERA UTARA,2007,47.92,10.365,0.322,761000
SUMATERA UTARA,2008,47.63,9.325,0.323,822205
SUMATERA UTARA,2009,48.39,8.35,0.317,905000
SUMATERA UTARA,2010,46.77,7.72,0.346,965000
SUMATERA UTARA,2011,50.9,7.825,0.326,1035500
SUMATERA UTARA,2012,52.44,6.355,0.3315,1200000
SUMATERA UTARA,2013,48.84,6.27,0.341,1375000
SUMATERA UTARA,2014,52.21,6.09,0.3155,1505850
SUMATERA UTARA,2015,47.84,6.55,0.331,1625000
SUMATERA UTARA,2016,50.97,6.165,0.3155,1811875
SUMATERA UTARA,2017,52.96,6.005,0.325,1961354
SUMATERA UTARA,2018,51.84,5.58,0.311,2132189
SUMATERA UTARA,2019,51.03,5.48,0.315,2303403
SUMATERA UTARA,2020,50.14,5.81,0.314,2499423
SUMATERA UTARA,2021,48.96,6.17,0.313,2499422
SUMATERA UTARA,2022,50.76,5.815,0.326,2522610
SUMATERA UTARA,2023,50.41,5.565,0.309,2710493
SUMATERA UTARA,2024,50.86,5.35,0.297,2809915
